Entity,MtCO2e,% of global
Saudi Aramco - Saudi Arabia,1931,4.84%
Gazprom - Russia,1527,3.83%
National Iranian Oil Co. - Iran,1266,3.17%
Coal India - India,1214,3.04%
PetroChina / China Natl Petroleum,883,2.21%
Rosneft - Russian Federation,846,2.12%
Abu Dhabi - United Arab Emirates,692,1.74%
ExxonMobil - USA,580,1.45%
Iraq National Oil Co. - Iraq,566,1.42%
Royal Dutch Shell - The Netherlands,550,1.38%
BP - UK,549,1.38%
Kuwait Petroleum - Kuwait,444,1.11%
Chevron - USA,443,1.11%
Total SA - France,404,1.01%
Peabody Energy - USA,398,1.00%
Sonatrach - Algeria,398,1.00%
Petrobras - Brazil,385,0.97%
Pemex - Mexico,380,0.95%
Glencore - Switzerland,355,0.89%
Lukoil - Russian Federation,341,0.86%
Top Twenty,14153,35.49%
Global (2018),39878,100.00%
